ImageName,X,Y,W,H,Lon,Lat,MMSI,COG,SOG,VesselName,VesselType,DimA,DimB,DimC,DimD,Destination,DetLon,DetLat,Dest
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,5208,2103,9,15,126.47830071313564,36.38945706258336,354139000.0,217.6,0.05144,ORIENTAL SOURCES,CARGO,130.0,27.0,8.0,16.0,,126.16455208386832,37.039439362202735,KH  SHV
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,5230,1917,9,17,126.47830071313564,36.38945706258336,235113772.0,193.1,0.0,ONISILOS,TANKER,147.0,36.0,23.0,9.0,,126.16850467111846,37.07267702771516,CNJYG->CNZOS
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,5138,2215,9,15,126.47830071313564,36.38945706258336,440427000.0,198.1,0.0,CLIPPER HONG KONG,BULK,93.0,27.0,3.0,17.0,,126.15197566989065,37.01931709983846,CNZOS
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,5258,2152,11,16,126.47830071313564,36.38945706258336,538008984.0,116.3,0.0,WAN HAI 622,CONTAINER,169.0,30.0,11.0,21.0,,126.17371489976634,37.03054604088995,CNNGB
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,5229,1918,9,16,126.47830071313564,36.38945706258336,235113772.0,193.1,0.0,ONISILOS,TANKER,147.0,36.0,23.0,9.0,,126.16832500806164,37.072587196186745,CNJYG->CNZOS
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,6095,1987,8,13,126.47830071313564,36.38945706258336,440304320.0,264.0,0.05144,SUPER FORTE,CHEMICAL_TANKER,80.0,35.0,4.0,14.0,,126.32382338374272,37.060459939851135,JING JIANG
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,6047,2166,8,15,126.47830071313564,36.38945706258336,441890000.0,0.0,0.05144,CSC RISINGSUN,PRODUCT_TANKER,83.0,23.0,9.0,8.0,,126.31519955701516,37.02812058962283,MAZHI
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,6056,2199,7,13,126.47830071313564,36.38945706258336,440321070.0,262.7,0.05144,CARLOS DRUMMOND DE A,TANKER,72.0,18.0,9.0,4.0,,126.31672669299816,37.02237137180447,ZHOUSHAN-CHINA
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,6516,2118,8,14,126.47830071313564,36.38945706258336,440503100.0,186.0,0.0,ONE MODERN,CONTAINER,97.0,21.0,5.0,14.0,,126.39946153066558,37.0368342478788,CN NGB
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,5046,2320,9,8,126.47830071313564,36.38945706258336,311000130.0,152.2,0.10288,YM MATURITY,CONTAINER,249.0,43.0,16.0,29.0,,126.13544666866284,37.00108129957084,CN NGB>CN XMN
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,8962,2535,11,14,126.47830071313564,36.38945706258336,563200400.0,118.2,0.0,NORTHERN MONUMENT,CONTAINER,180.0,20.0,14.0,17.0,,126.83918686224207,36.96191475318322,CNXMN>CNZOS
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,3930,4631,7,15,126.47830071313564,36.38945706258336,352001491.0,11.0,6.1728,RUN ZE 11,PRODUCT_TANKER,112.0,22.0,15.0,5.0,,125.93476303419057,36.58525115455191,MAZHI
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,6111,6075,6,14,126.47830071313564,36.38945706258336,440498000.0,337.9,2.16048,ATACAMA,CONTAINER,13.0,19.0,2.0,2.0,,126.32651832959507,36.325907532026605,NINGBO PSTN
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,6814,6253,8,15,126.47830071313564,36.38945706258336,538008862.0,144.0,0.0,HE FU,BULK,128.0,25.0,22.0,8.0,,126.4530011215991,36.29383767638353,TAIPEI
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,3520,6910,9,20,126.47830071313564,36.38945706258336,229178000.0,299.1,0.66872,MARCOS V,CONTAINER,192.0,37.0,19.0,13.0,,125.86128084394956,36.17534989040817,ZHOUSHAN
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,3519,6909,9,20,126.47830071313564,36.38945706258336,229178000.0,299.1,0.66872,MARCOS V,CONTAINER,192.0,37.0,19.0,13.0,,125.86110118089276,36.175529553465,ZHOUSHAN
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8,3372,7155,8,18,126.47830071313564,36.38945706258336,567274000.0,171.0,6.37856,SM EMERALD,BULK,160.0,30.0,15.0,17.0,,125.83460088001122,36.131512104543134,NCTUD
